,Адрес,Год постройки,Город,Количество жилых помещений,Количество лифтов,"Количество мусоропроводов, ед.",Количество подъездов,Количество этажей,Материал несущих стен,Площадь зем. участка общего имущества м2,Площадь нежилых помещений м2,Площадь парковки м2,Спортивная площадка,Тип мусоропровода
0,"ул. Вишнякова, д. 2",1954,Бокситогорск,47,не указано,не указано,4,3,Блочные,3 605.00,270.90,не указано,Не имеется,Отсутствует
1,"ул. Вишнякова, д. 7-а, к. 0, стр. 0",2012,Бокситогорск,21,не указано,не указано,2,3,Иные,2 513.60,0.00,0.00,Не имеется,Отсутствует
2,"ул. Вишнякова, д. 19",1989,Бокситогорск,60,не указано,не указано,4,5,Панельные,2 710.00,1 209.90,125.00,Не имеется,Отсутствует
3,"ул. Вишнякова, д. 21",1967,Бокситогорск,100,не указано,не указано,6,5,Кирпич,3 920.00,1 737.00,280.00,Не имеется,Отсутствует
4,"ул. Вишнякова, д. 23",1967,Бокситогорск,69,не указано,не указано,4,5,Кирпич,2 400.00,1 461.52,350.00,Не имеется,Отсутствует
5,"ул. Вишнякова, д. 24",1961,Бокситогорск,не указано,не указано,не указано,2,3,Кирпич,1 300.00,311.40,не указано,не указано,не указано
6,"ул. Вишнякова, д. 25",1968,Бокситогорск,60,не указано,не указано,4,5,Кирпич,2 400.00,1 278.50,150.00,Не имеется,Отсутствует
7,"ул. Вишнякова, д. 26",1961,Бокситогорск,не указано,не указано,не указано,2,3,Иные,1 090.00,302.60,не указано,не указано,не указано
8,"ул. Вишнякова, д. 27",1970,Бокситогорск,128,не указано,не указано,8,5,Кирпич,4 580.00,2 495.60,4 580.00,Не имеется,Отсутствует
9,"ул. Вишнякова, д. 29",1979,Бокситогорск,83,не указано,не указано,7,5,Кирпич,5 280.00,2 181.20,150.00,Не имеется,Отсутствует
10,"ул. Вишнякова, д. 30",1970,Бокситогорск,100,не указано,не указано,6,5,Кирпич,4 520.00,1 747.52,150.00,Не имеется,Отсутствует
11,"ул. Вишнякова, д. 32",1972,Бокситогорск,100,не указано,не указано,6,5,Кирпич,4 520.00,1 780.45,150.00,Не имеется,Отсутствует
12,"ул. Воронина, д. 7",1955,Бокситогорск,18,не указано,не указано,2,3,Блочные,1 120.00,0.00,0.00,Не имеется,Отсутствует
13,"ул. Воронина, д. 9",1955,Бокситогорск,24,не указано,не указано,3,3,Кирпич,2 570.00,0.00,0.00,Не имеется,Отсутствует
14,"ул. Городская, д. 1",2009,Бокситогорск,не указано,не указано,не указано,3,3,Иные,4 430.00,1 099.80,не указано,не указано,не указано
15,"ул. Городская, д. 3",2009,Бокситогорск,не указано,не указано,не указано,3,3,Кирпич,4 421.40,1 095.60,не указано,не указано,не указано
16,"ул. Городская, д. 4",2010,Бокситогорск,не указано,не указано,не указано,4,3,Кирпич,1 136.00,844.80,не указано,не указано,не указано
17,"ул. Дымское шоссе, д. 2/1",1955,Бокситогорск,38,не указано,не указано,4,3,Кирпич,2 450.00,288.07,не указано,Не имеется,Отсутствует
18,"ул. Дымское шоссе, д. 3",1939,Бокситогорск,20,не указано,не указано,4,3,Иные,3 080.00,722.50,130.00,Не имеется,Отсутствует
19,"ул. Дымское шоссе, д. 4",1939,Бокситогорск,24,не указано,не указано,4,3,Кирпич,3 390.00,196.40,0.00,Не имеется,Отсутствует
20,"ул. Заводская, д. 4",1939,Бокситогорск,8,не указано,не указано,2,2,Кирпич,1 190.00,0.00,0.00,Не имеется,Отсутствует
21,"ул. Заводская, д. 5",1959,Бокситогорск,46,не указано,не указано,6,4,Иные,3 900.00,1 499.46,210.00,Не имеется,Отсутствует
22,"ул. Заводская, д. 6",1958,Бокситогорск,42,не указано,не указано,2,5,Кирпич,560.00,549.61,115.00,Не имеется,Отсутствует
23,"ул. Заводская, д. 6а",1967,Бокситогорск,44,не указано,не указано,3,4,Кирпич,2 440.00,976.60,195.00,Не имеется,Отсутствует
24,"ул. Заводская, д. 7/2",1955,Бокситогорск,33,не указано,не указано,5,4,Иные,3 610.00,1 092.09,150.00,Не имеется,Отсутствует
25,"ул. Заводская, д. 11/2",1940,Бокситогорск,не указано,81,не указано,4,4,Кирпич,2 330.00,1 261.40,не указано,не указано,не указано
26,"ул. Заводская, д. 13/1",1954,Бокситогорск,70,не указано,не указано,7,3,Иные,4 590.00,3 172.14,180.00,Не имеется,Отсутствует
27,"ул. Комсомольская, д. 3",1956,Бокситогорск,21,не указано,не указано,3,3,Иные,1 530.00,511.90,145.00,Не имеется,Отсутствует
28,"ул. Комсомольская, д. 5",1957,Бокситогорск,89,не указано,не указано,9,4,Иные,8 033.00,4 077.14,260.00,Есть,Отсутствует
29,"ул. Комсомольская, д. 6",1956,Бокситогорск,12,не указано,не указано,2,2,Иные,1 350.00,68.00,40.00,Не имеется,Отсутствует
30,"ул. Комсомольская, д. 7",1956,Бокситогорск,34,не указано,не указано,4,4,Иные,3 802.00,1 367.85,210.00,Не имеется,Отсутствует
31,"ул. Комсомольская, д. 8",1955,Бокситогорск,12,не указано,не указано,2,2,Иные,1 327.00,504.00,90.00,Не имеется,Отсутствует
32,"ул. Комсомольская, д. 10/21",1953,Бокситогорск,12,не указано,не указано,2,2,Кирпич,1 300.00,309.93,120.00,Не имеется,Отсутствует
33,"ул. Комсомольская, д. 12/18",1958,Бокситогорск,38,не указано,не указано,3,3,Иные,2 480.00,653.00,110.00,Не имеется,Отсутствует
34,"ул. Комсомольская, д. 13/20",1958,Бокситогорск,не указано,не указано,не указано,3,3,Иные,1 770.00,181.00,не указано,не указано,не указано
35,"ул. Комсомольская, д. 14",1958,Бокситогорск,48,не указано,не указано,4,3,Иные,1 910.00,1 114.00,105.00,Не имеется,Отсутствует
36,"ул. Комсомольская, д. 15",1958,Бокситогорск,23,не указано,не указано,3,3,Смешанные,1 660.00,44.50,0.00,Не имеется,Отсутствует
37,"ул. Комсомольская, д. 16/11",1958,Бокситогорск,36,не указано,не указано,3,3,Иные,1 380.00,825.62,143.00,Не имеется,Отсутствует
38,"ул. Комсомольская, д. 17",1957,Бокситогорск,не указано,не указано,не указано,3,3,Иные,1 610.00,823.00,не указано,не указано,не указано
39,"ул. Комсомольская, д. 18/18",1956,Бокситогорск,21,не указано,не указано,3,3,Иные,1 700.00,737.00,118.00,Не имеется,Отсутствует
40,"ул. Комсомольская, д. 19/13",1957,Бокситогорск,не указано,не указано,не указано,4,3,Иные,2 330.00,661.00,не указано,не указано,не указано
41,"ул. Комсомольская, д. 20",1956,Бокситогорск,24,не указано,не указано,2,3,Иные,1 060.00,657.00,115.00,Не имеется,Отсутствует
42,"ул. Комсомольская, д. 24",1956,Бокситогорск,22,не указано,не указано,2,3,Иные,1 150.00,646.00,95.00,Не имеется,Отсутствует
43,"ул. Комсомольская, д. 26/11",1957,Бокситогорск,21,не указано,не указано,4,3,Иные,2 000.00,1 052.32,96.00,Не имеется,Отсутствует
44,"ул. Красная, д. 1",1995,Бокситогорск,59,не указано,не указано,4,5,Панельные,3 770.00,1 250.91,210.00,Не имеется,Отсутствует
45,"ул. Красных Следопытов, д. 1",1975,Бокситогорск,78,не указано,не указано,5,5,Кирпич,2 597.00,1 343.60,230.00,Не имеется,Отсутствует
46,"ул. Красных Следопытов, д. 3",1974,Бокситогорск,125,не указано,не указано,8,5,Кирпич,4 530.00,2 552.76,190.00,Не имеется,Отсутствует
47,"ул. Красных Следопытов, д. 4",1977,Бокситогорск,99,не указано,не указано,6,5,Кирпич,3 610.00,1 716.00,160.00,Не имеется,Отсутствует
48,"ул. Красных Следопытов, д. 5",1976,Бокситогорск,100,не указано,не указано,6,5,Кирпич,4 090.00,1 810.00,210.00,Есть,Отсутствует
49,"ул. Красных Следопытов, д. 6",1978,Бокситогорск,105,не указано,не указано,7,5,Кирпич,3 700.00,1 641.20,180.00,Есть,Отсутствует
50,"ул. Красных Следопытов, д. 7",1985,Бокситогорск,109,не указано,не указано,7,5,Панельные,6 510.00,2 713.70,210.00,Есть,Отсутствует
51,"ул. Красных Следопытов, д. 8",1979,Бокситогорск,104,не указано,не указано,7,5,Кирпич,4 310.00,2 072.40,160.00,Есть,Отсутствует
52,"ул. Красных Следопытов, д. 10",1986,Бокситогорск,119,не указано,не указано,10,5,Панельные,5 860.00,2 628.70,150.00,Не имеется,Отсутствует
53,"ул. Красных Следопытов, д. 12",1984,Бокситогорск,90,не указано,не указано,6,5,Панельные,4 850.00,1 896.00,230.00,Не имеется,Отсутствует
54,"ул. Красных Следопытов, д. 14",1985,Бокситогорск,120,не указано,не указано,8,5,Панельные,5 400.00,2 547.20,125.00,Не имеется,Отсутствует
55,"ул. Металлургов, д. 1/31",1981,Бокситогорск,135,не указано,не указано,9,5,Кирпич,4 020.00,2 671.00,168.00,Не имеется,Отсутствует
56,"ул. Металлургов, д. 2",1992,Бокситогорск,108,не указано,не указано,8,5,Кирпич,3 810.00,2 197.23,216.00,Не имеется,Отсутствует
57,"ул. Металлургов, д. 3",1981,Бокситогорск,90,не указано,не указано,6,5,Кирпич,2 740.00,1 682.60,135.00,Не имеется,Отсутствует
58,"ул. Металлургов, д. 4",1996,Бокситогорск,60,не указано,не указано,4,5,Панельные,4 060.00,1 251.51,168.00,Не имеется,Отсутствует
59,"ул. Металлургов, д. 5",1982,Бокситогорск,90,не указано,не указано,6,5,Кирпич,2 410.00,1 700.40,169.00,Не имеется,Отсутствует
60,"ул. Металлургов, д. 7",1988,Бокситогорск,89,не указано,не указано,6,5,Панельные,3 970.00,1 851.60,210.00,Есть,Отсутствует
61,"ул. Нагорная, д. 1",1980,Бокситогорск,89,не указано,не указано,6,5,Панельные,7 610.00,1 880.70,230.00,Не имеется,Отсутствует
62,"ул. Нагорная, д. 2",1987,Бокситогорск,59,не указано,не указано,4,5,Панельные,4 900.00,1 160.30,120.00,Не имеется,Отсутствует
63,"ул. Новогородская, д. 4",1955,Бокситогорск,не указано,не указано,не указано,2,3,Кирпич,1 760.00,505.00,не указано,не указано,не указано
64,"ул. Новогородская, д. 6",1955,Бокситогорск,не указано,не указано,не указано,2,3,Иные,2 620.00,658.00,не указано,не указано,не указано
65,"ул. Новогородская, д. 8",1955,Бокситогорск,не указано,не указано,не указано,2,2,Иные,2 150.00,294.52,не указано,не указано,не указано
66,"ул. Новогородская, д. 12",1987,Бокситогорск,27,не указано,не указано,3,3,Кирпич,1 460.00,763.60,158.00,Не имеется,Отсутствует
67,"ул. Новогородская, д. 14",1986,Бокситогорск,27,не указано,не указано,3,3,Кирпич,1 768.00,2 049.95,167.00,Не имеется,Отсутствует
68,"ул. Павлова, д. 3-а, к. 0, стр. 0",2014,Бокситогорск,24,не указано,не указано,2,3,Монолитные,2 610.00,0.00,0.00,Есть,Отсутствует
69,"ул. Павлова, д. 4",1990,Бокситогорск,60,не указано,не указано,4,5,Панельные,2 500.00,1 211.30,180.00,Не имеется,Отсутствует
70,"ул. Павлова, д. 7",1986,Бокситогорск,56,не указано,6,6,5,Кирпич,3 887.00,216.80,0.00,Не имеется,На лестничной клетке
71,"ул. Павлова, д. 7",1986,Бокситогорск,56,не указано,6,6,5,Кирпич,3 887.00,216.80,0.00,Не имеется,На лестничной клетке
72,"ул. Павлова, д. 8",1990,Бокситогорск,148,не указано,не указано,10,5,Панельные,6 640.00,3 542.50,320.00,Не имеется,Отсутствует
73,"ул. Павлова, д. 9а (дубль 1)",1990,Бокситогорск,32,не указано,не указано,2,4,Кирпич,3 660.00,766.60,165.00,Не имеется,Отсутствует
74,"ул. Павлова, д. 15",1958,Бокситогорск,не указано,не указано,не указано,3,3,Иные,1 480.00,515.00,не указано,не указано,не указано
75,"ул. Павлова, д. 16",1989,Бокситогорск,170,не указано,не указано,11,5,Панельные,9 580.00,3 706.10,320.00,Не имеется,Отсутствует
76,"ул. Павлова, д. 17",1958,Бокситогорск,не указано,не указано,не указано,3,3,Иные,1 560.00,518.26,не указано,не указано,не указано
77,"ул. Павлова, д. 18а",2012,Бокситогорск,36,не указано,не указано,2,3,Кирпич,3 000.00,958.70,215.00,Не имеется,Отсутствует
78,"ул. Павлова, д. 18",2009,Бокситогорск,24,не указано,не указано,2,3,Иные,3 305.00,0.00,0.00,Не имеется,Отсутствует
79,"ул. Павлова, д. 19",1959,Бокситогорск,не указано,не указано,не указано,2,3,Иные,1 130.00,512.80,не указано,не указано,не указано
80,"ул. Павлова, д. 21",1972,Бокситогорск,76,не указано,не указано,5,5,Кирпич,3 630.00,3 035.89,167.00,Не имеется,Отсутствует
81,"ул. Павлова, д. 23",1973,Бокситогорск,51,не указано,не указано,4,5,Кирпич,3 090.00,1 237.04,169.00,Не имеется,Отсутствует
82,"ул. Павлова, д. 25",1974,Бокситогорск,94,не указано,не указано,6,5,Кирпич,2 597.00,1 886.47,116.00,Не имеется,Отсутствует
83,"ул. Павлова, д. 27/2",1978,Бокситогорск,144,не указано,не указано,10,5,Кирпич,6 440.00,3 108.00,120.00,Не имеется,Отсутствует
84,"ул. Павлова, д. 29",1983,Бокситогорск,60,не указано,не указано,4,5,Панельные,3 550.00,1 243.00,160.00,Не имеется,Отсутствует
85,"ул. Павлова, д. 33",1992,Бокситогорск,60,не указано,не указано,4,5,Панельные,6 400.00,1 237.00,135.00,Не имеется,Отсутствует
86,"ул. Павлова, д. 37",1993,Бокситогорск,89,не указано,не указано,6,5,Панельные,5 210.00,1 866.60,165.00,Не имеется,Отсутствует
87,"ул. Павлова, д. 39",1994,Бокситогорск,60,не указано,не указано,4,5,Панельные,2 400.00,1 188.50,60.00,Не имеется,Отсутствует
88,"ул. Садовая, д. 3",1961,Бокситогорск,58,не указано,не указано,3,5,Кирпич,1 660.00,929.30,40.00,Не имеется,Отсутствует
89,"ул. Садовая, д. 5",1963,Бокситогорск,35,не указано,не указано,3,5,Кирпич,2 230.00,1 408.04,60.00,Не имеется,Отсутствует
90,"ул. Садовая, д. 5а",1968,Бокситогорск,126,не указано,не указано,8,5,Кирпич,6 310.00,2 372.71,0.00,Не имеется,Отсутствует
91,"ул. Садовая, д. 7",1965,Бокситогорск,35,не указано,не указано,3,4,Кирпич,2 140.00,852.80,0.00,Не имеется,Отсутствует
92,"ул. Садовая, д. 9",1963,Бокситогорск,56,не указано,не указано,3,5,Кирпич,1 580.00,928.30,0.00,не указано,Отсутствует
93,"ул. Садовая, д. 11",1964,Бокситогорск,60,не указано,не указано,3,5,Кирпич,1 840.00,907.90,0.00,Не имеется,Отсутствует
94,"ул. Садовая, д. 12/7",1957,Бокситогорск,55,не указано,не указано,5,3,Кирпич,4 625.00,1 241.06,130.00,Не имеется,Отсутствует
95,"ул. Садовая, д. 13",1966,Бокситогорск,119,не указано,не указано,6,5,Кирпич,3 020.00,1 912.45,0.00,Не имеется,Отсутствует
96,"ул. Садовая, д. 14",1956,Бокситогорск,24,не указано,не указано,3,3,Иные,1 800.00,315.14,90.00,Не имеется,Отсутствует
97,"ул. Садовая, д. 15",1966,Бокситогорск,46,не указано,не указано,3,4,Кирпич,2 015.00,1 026.10,0.00,Не имеется,Отсутствует
98,"ул. Садовая, д. 16/19",1956,Бокситогорск,29,не указано,не указано,4,3,Иные,3 150.00,1 058.78,169.00,не указано,Отсутствует
99,"ул. Садовая, д. 20а",1961,Бокситогорск,не указано,не указано,не указано,3,3,Иные,1 830.00,494.50,не указано,не указано,не указано
100,"ул. Садовая, д. 20",1959,Бокситогорск,не указано,не указано,не указано,3,3,Иные,1 830.00,465.30,не указано,не указано,не указано
101,"ул. Садовая, д. 22а",1961,Бокситогорск,не указано,не указано,не указано,3,3,Иные,1 830.00,461.15,не указано,не указано,не указано
102,"ул. Садовая, д. 22",1959,Бокситогорск,не указано,не указано,не указано,3,3,Иные,1 820.00,466.00,не указано,не указано,не указано
103,"ул. Советская, д. 4",1952,Бокситогорск,не указано,не указано,не указано,2,2,Иные,880.00,160.59,не указано,не указано,не указано
104,"ул. Советская, д. 8",1952,Бокситогорск,не указано,не указано,не указано,2,2,Иные,880.00,201.30,не указано,не указано,не указано
105,"ул. Советская, д. 9",1955,Бокситогорск,не указано,не указано,не указано,2,2,Кирпич,1 362.00,586.30,не указано,не указано,не указано
106,"ул. Советская, д. 9",1955,Бокситогорск,не указано,не указано,не указано,2,2,Кирпич,1 362.00,586.30,не указано,не указано,не указано
107,"ул. Советская, д. 10",2009,Бокситогорск,не указано,не указано,не указано,6,3,Кирпич,4 847.00,1 834.30,не указано,не указано,не указано
108,"ул. Советская, д. 11",1953,Бокситогорск,12,не указано,не указано,2,2,Иные,2 240.00,210.00,110.00,Есть,Отсутствует
109,"ул. Советская, д. 17",1952,Бокситогорск,не указано,не указано,не указано,1,2,не указано,770.00,48.00,не указано,не указано,не указано
110,"ул. Социалистическая, д. 1",1939,Бокситогорск,39,не указано,не указано,6,5,Кирпич,3 390.00,202.40,0.00,Не имеется,Отсутствует
111,"ул. Социалистическая, д. 2",1954,Бокситогорск,не указано,не указано,не указано,5,3,Иные,4 500.00,788.50,не указано,не указано,не указано
112,"ул. Социалистическая, д. 3",1951,Бокситогорск,12,не указано,не указано,2,2,Кирпич,1 536.00,0.00,0.00,Не имеется,Отсутствует
113,"ул. Социалистическая, д. 4",1951,Бокситогорск,не указано,не указано,не указано,2,2,Иные,1 639.00,84.00,не указано,не указано,не указано
114,"ул. Социалистическая, д. 5",1951,Бокситогорск,12,не указано,не указано,2,2,Кирпич,1 649.00,0.00,0.00,Не имеется,Отсутствует
115,"ул. Социалистическая, д. 6",1952,Бокситогорск,не указано,не указано,не указано,1,2,Иные,1 290.00,51.00,не указано,не указано,не указано
116,"ул. Социалистическая, д. 7",1951,Бокситогорск,12,не указано,не указано,2,2,Кирпич,1 576.00,0.00,0.00,Не имеется,не указано
117,"ул. Социалистическая, д. 8",1953,Бокситогорск,не указано,не указано,не указано,2,2,Иные,1 676.00,84.00,не указано,не указано,не указано
118,"ул. Социалистическая, д. 10",1951,Бокситогорск,не указано,не указано,не указано,3,2,Кирпич,2 211.00,605.34,не указано,не указано,не указано
119,"ул. Социалистическая, д. 11",1951,Бокситогорск,12,не указано,не указано,2,2,Кирпич,1 649.00,89.00,0.00,Не имеется,Отсутствует
120,"ул. Социалистическая, д. 12",1952,Бокситогорск,8,не указано,не указано,1,2,Иные,1 010.00,53.00,0.00,Не имеется,Отсутствует
121,"ул. Социалистическая, д. 13",1952,Бокситогорск,18,не указано,не указано,2,2,Иные,2 078.00,925.90,20.00,Не имеется,Отсутствует
122,"ул. Социалистическая, д. 15",1956,Бокситогорск,23,не указано,не указано,3,3,Иные,1 626.00,530.64,0.00,Не имеется,Отсутствует
123,"ул. Социалистическая, д. 16/1",1952,Бокситогорск,18,не указано,не указано,3,2,Иные,2 470.00,852.40,0.00,Не имеется,Отсутствует
124,"ул. Социалистическая, д. 17",1963,Бокситогорск,24,не указано,не указано,3,3,Иные,1 631.00,809.38,0.00,Не имеется,Отсутствует
125,"ул. Социалистическая, д. 18",1953,Бокситогорск,8,не указано,не указано,1,2,Иные,1 070.00,425.00,0.00,Не имеется,Отсутствует
126,"ул. Социалистическая, д. 19",1956,Бокситогорск,17,не указано,не указано,3,3,Иные,1 413.00,779.00,0.00,Не имеется,Отсутствует
127,"ул. Социалистическая, д. 19/2",1976,Бокситогорск,24,не указано,не указано,3,3,Кирпич,2 998.00,429.86,0.00,Не имеется,Отсутствует
128,"ул. Социалистическая, д. 20",1952,Бокситогорск,7,не указано,не указано,1,2,Иные,1 090.00,416.56,0.00,Не имеется,Отсутствует
129,"ул. Социалистическая, д. 22/1",1962,Бокситогорск,60,не указано,не указано,3,5,Кирпич,1 750.00,891.62,100.00,Не имеется,Отсутствует
130,"ул. Социалистическая, д. 24",1962,Бокситогорск,48,не указано,не указано,3,4,Кирпич,1 780.00,848.90,120.00,Не имеется,Отсутствует
131,"ул. Социалистическая, д. 26",1962,Бокситогорск,42,не указано,не указано,3,4,Кирпич,2 160.00,846.67,120.00,Не имеется,Отсутствует
132,"ул. Социалистическая, д. 28",1977,Бокситогорск,78,не указано,не указано,6,5,Кирпич,4 580.00,1 864.00,120.00,Не имеется,Отсутствует
133,"ул. Социалистическая, д. 32",1989,Бокситогорск,149,не указано,не указано,10,5,Панельные,9 400.00,3 443.40,320.00,Не имеется,Отсутствует
134,"ул. Спортивная, д. 2",1959,Бокситогорск,35,не указано,не указано,3,3,Блочные,1 664.00,29.38,0.00,Не имеется,Отсутствует
135,"ул. Спортивная, д. 4",1958,Бокситогорск,36,не указано,не указано,3,3,Кирпич,1 828.00,826.00,0.00,Не имеется,Отсутствует
136,"ул. Спортивная, д. 6",1959,Бокситогорск,36,не указано,не указано,3,3,Кирпич,1 874.00,0.00,не указано,Не имеется,Отсутствует
137,"ул. Спортивная, д. 8",1959,Бокситогорск,36,не указано,не указано,3,3,Кирпич,1 700.00,0.00,не указано,Не имеется,Отсутствует
138,"ул. Спортивная, д. 10",1969,Бокситогорск,70,не указано,не указано,4,5,Кирпич,1 835.00,1 090.00,0.00,Не имеется,Отсутствует
139,"ул. Спортивная, д. 12",1972,Бокситогорск,64,не указано,не указано,4,5,Кирпич,2 192.00,1 442.00,120.00,Не имеется,Отсутствует
140,"ул. Спортивная, д. 14",1970,Бокситогорск,67,не указано,не указано,4,5,Кирпич,1 724.00,1 010.06,60.00,Не имеется,Отсутствует
141,"ул. Школьная, д. 5",1953,Бокситогорск,не указано,не указано,не указано,2,2,Иные,1 590.00,372.00,не указано,не указано,не указано
142,"ул. Школьная, д. 7",1964,Бокситогорск,не указано,не указано,не указано,1,2,Иные,1 190.00,50.00,не указано,не указано,не указано
143,"ул. Школьная, д. 8/12",1953,Бокситогорск,не указано,не указано,не указано,2,2,Иные,1 650.00,299.00,не указано,не указано,не указано
144,"ул. Школьная, д. 9",1953,Бокситогорск,не указано,не указано,не указано,2,2,Кирпич,1 620.00,80.00,не указано,не указано,не указано
145,"ул. Школьная, д. 10",1955,Бокситогорск,24,не указано,не указано,2,3,Кирпич,1 952.00,652.00,0.00,Не имеется,Отсутствует
146,"ул. Школьная, д. 11/15",1952,Бокситогорск,не указано,не указано,не указано,2,2,Иные,1 260.00,404.00,не указано,не указано,не указано
147,"ул. Школьная, д. 12",1954,Бокситогорск,не указано,не указано,не указано,2,2,Кирпич,1 620.00,291.00,не указано,не указано,не указано
148,"ул. Школьная, д. 14/13",1954,Бокситогорск,не указано,не указано,не указано,2,2,Иные,1 470.00,209.41,не указано,не указано,не указано
149,"ул. Школьная, д. 16/6",1956,Бокситогорск,29,не указано,не указано,3,3,Кирпич,2 170.00,266.30,0.00,Не имеется,Отсутствует
150,"ул. Школьная, д. 17",1957,Бокситогорск,30,не указано,не указано,4,3,Блочные,1 828.00,0.00,0.00,Не имеется,Отсутствует
151,"ул. Школьная, д. 20",1954,Бокситогорск,8,не указано,не указано,1,2,Иные,1 080.00,0.00,0.00,Не имеется,Отсутствует
152,"ул. Школьная, д. 21",1956,Бокситогорск,30,не указано,не указано,4,3,Блочные,2 110.00,0.00,0.00,Не имеется,Отсутствует
153,"ул. Школьная, д. 23",1956,Бокситогорск,24,не указано,не указано,4,3,Блочные,2 060.00,368.50,0.00,Не имеется,Отсутствует
154,"ул. Школьная, д. 24/8",1941,Бокситогорск,не указано,не указано,не указано,3,4,Кирпич,2 594.00,1 846.00,не указано,не указано,не указано
155,"ул. Школьная, д. 24/8, к. 0, стр. 0",1941,Бокситогорск,32,не указано,не указано,3,4,Кирпич,2 594.00,0.00,0.00,Не имеется,Отсутствует
156,"ул. Школьная, д. 26",1951,Бокситогорск,8,не указано,не указано,1,2,Блочные,1 459.00,0.00,0.00,Не имеется,Отсутствует
157,"ул. Школьная, д. 28",1953,Бокситогорск,12,не указано,не указано,2,2,Иные,1 281.00,489.90,0.00,Не имеется,Отсутствует
158,"ул. Школьная, д. 30",1951,Бокситогорск,8,не указано,не указано,1,2,Кирпич,1 512.00,0.00,0.00,Не имеется,Отсутствует
159,"ул. Южная, д. 5а",1988,Бокситогорск,57,не указано,не указано,4,5,Панельные,3 710.00,1 194.70,20.00,Не имеется,Отсутствует
160,"ул. Южная, д. 7",1951,Бокситогорск,5,не указано,не указано,1,2,Иные,1 630.00,40.00,0.00,Не имеется,Отсутствует
161,"ул. Южная, д. 13",1974,Бокситогорск,97,не указано,не указано,6,5,Кирпич,4 900.00,1 711.72,0.00,Не имеется,Отсутствует
162,"ул. Южная, д. 13/1",1983,Бокситогорск,78,не указано,не указано,6,5,Кирпич,6 000.00,1 540.30,0.00,Не имеется,Отсутствует
163,"ул. Южная, д. 15",1971,Бокситогорск,98,не указано,не указано,6,5,Кирпич,5 570.00,1 735.44,60.00,Не имеется,Отсутствует
164,"ул. Южная, д. 15/2",1975,Бокситогорск,100,не указано,не указано,6,5,Кирпич,4 100.00,1 695.00,100.00,Не имеется,Отсутствует
165,"ул. Южная, д. 17",1973,Бокситогорск,128,не указано,не указано,8,5,Кирпич,6 250.00,2 358.53,60.00,Не имеется,Отсутствует
166,"ул. Южная, д. 19",1972,Бокситогорск,100,не указано,не указано,6,5,Кирпич,4 100.00,1 718.44,60.00,Не имеется,Отсутствует
167,"ул. Южная, д. 25",1969,Бокситогорск,16,не указано,не указано,2,2,Кирпич,1 450.00,581.00,20.00,Не имеется,Отсутствует
168,"ул. Боровая, д. №1",1961,Будогощь,не указано,не указано,не указано,2,1,Кирпич,не указано,8.60,не указано,не указано,не указано
169,"ул. Боровая, д. №4",1976,Будогощь,22,не указано,не указано,3,2,Кирпич,1 126.00,314.20,0.00,Не имеется,Отсутствует
170,"ул. Боровая, д. №11",1981,Будогощь,27,не указано,не указано,3,3,Панельные,1 132.00,597.90,0.00,Не имеется,Отсутствует
171,"ул. Боровая, д. №10",1981,Будогощь,27,не указано,не указано,3,3,Панельные,1 136.00,582.90,0.00,Не имеется,Отсутствует
172,"ул. Гоголя, д. !18",1974,Будогощь,не указано,не указано,не указано,2,1,Деревянные,не указано,32.50,не указано,не указано,не указано
173,"ул. Гоголя, д. №19",1970,Будогощь,не указано,не указано,не указано,3,1,Деревянные,не указано,33.00,не указано,не указано,не указано
174,"ул. Гоголя, д. №20",1984,Будогощь,не указано,не указано,не указано,3,1,Деревянные,не указано,50.10,не указано,не указано,не указано
175,"ул. Гоголя, д. №21",1960,Будогощь,не указано,не указано,не указано,2,1,Деревянные,не указано,37.10,не указано,не указано,не указано
176,"ул. Гоголя, д. №22",1970,Будогощь,не указано,не указано,не указано,6,1,Деревянные,не указано,68.70,не указано,не указано,не указано
177,"ул. Гоголя, д. №22а",1991,Будогощь,не указано,не указано,не указано,2,1,Деревянные,не указано,27.60,не указано,не указано,не указано
178,"ул. Делегатская, д. №1",1930,Будогощь,не указано,не указано,не указано,2,2,Деревянные,не указано,50.60,не указано,не указано,не указано
179,"ул. Делегатская, д. №3",1958,Будогощь,не указано,не указано,не указано,1,2,Деревянные,не указано,98.30,не указано,не указано,не указано
180,"ул. Делегатская, д. №3а",1950,Будогощь,не указано,не указано,не указано,2,1,Деревянные,не указано,не указано,не указано,не указано,не указано
181,"ул. Железнодорожная, д. №16",1980,Будогощь,не указано,не указано,не указано,3,1,Деревянные,не указано,22.50,не указано,не указано,не указано
182,"ул. Железнодорожная, д. №3",1961,Будогощь,не указано,не указано,не указано,2,1,Иные,не указано,23.70,не указано,не указано,не указано
183,"ул. Железнодорожная, д. №4",1979,Будогощь,не указано,не указано,не указано,4,1,Деревянные,не указано,не указано,не указано,не указано,не указано
184,"ул. Железнодорожная, д. №6",1979,Будогощь,не указано,не указано,не указано,5,1,Деревянные,не указано,52.10,не указано,не указано,не указано
185,"ул. Железнодорожная, д. №7",1979,Будогощь,не указано,не указано,не указано,2,1,Деревянные,не указано,42.50,не указано,не указано,не указано
186,"ул. Железнодорожная, д. №9",1979,Будогощь,не указано,не указано,не указано,3,1,Деревянные,не указано,85.30,не указано,не указано,не указано
